SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11
,,"{""TMPRSS11B"", ""retained_intron:SLVRNA""}","{""ATXN2L"", ""protein_coding:SLVRNA""}",,,,,"{""CHST2"", ""protein_coding:SLVRNA""}",,,,
,,"{""CTBP2"", ""protein_coding:SLVRNA""}","{""STK35"", ""protein_coding:SLVRNA""}",,,,,"{""MKNK2"", ""protein_coding:SLVRNA""}",,,,
,,"{""DOPEY2"", ""protein_coding:SLVRNA""}","{""IL18"", ""retained_intron:SLVRNA""}",,,,,"{""ZNF276"", ""nonsense_mediated_decay:SLVRNA""}",,,,
,,"{""HSPA1B"", ""protein_coding:SLVRNA""}","{""ATG16L2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,"{""RBL2"", ""processed_transcript:SLVRNA""}",,,,
,,"{""PRSS22"", ""retained_intron:SLVRNA""}","{""HCAR2"", ""protein_coding:SLVRNA""}",,,,,"{""GMIP"", ""protein_coding:SLVRNA""}",,,,
,,"{""HDAC7"", ""protein_coding:SLVRNA""}","{""CYCS"", ""protein_coding:SLVRNA""}",,,,,"{""SLC16A3"", ""protein_coding:SLVRNA""}",,,,
,,"{""TSNAX"", ""protein_coding:SLVRNA""}","{""PHF12"", ""protein_coding:SLVRNA""}",,,,,"{""SETD1B"", ""protein_coding:SLVRNA""}",,,,
,,"{""APAF1"", ""protein_coding:SLVRNA""}","{""ANKRD27"", ""protein_coding:SLVRNA""}",,,,,"{""FOS"", ""processed_transcript:SLVRNA""}",,,,
,,"{""RP11-463O12.5"", ""TEC:SLVRNA""}","{""SLC35A4"", ""protein_coding:SLVRNA""}",,,,,"{""IL6R"", ""protein_coding:SLVRNA""}",,,,
,,"{""RDH10"", ""protein_coding:SLVRNA""}","{""KIF21A"", ""protein_coding:SLVRNA""}",,,,,"{""MVP"", ""protein_coding:SLVRNA""}",,,,
,,"{""VASN"", ""protein_coding:SLVRNA""}","{""XPO6"", ""protein_coding:SLVRNA""}",,,,,"{""WWC3"", ""protein_coding:SLVRNA""}",,,,
,,"{""LCN2"", ""retained_intron:SLVRNA""}","{""ATP5A1"", ""retained_intron:SLVRNA""}",,,,,"{""NCF1B"", ""processed_transcript:SLVRNA""}",,,,
,,"{""KRT15"", ""protein_coding:SLVRNA""}","{""LACTB"", ""protein_coding:SLVRNA""}",,,,,"{""PRKD3"", ""protein_coding:SLVRNA""}",,,,
,,"{""PITX1"", ""protein_coding:SLVRNA""}","{""VWA1"", ""protein_coding:SLVRNA""}",,,,,"{""LAMTOR5"", ""protein_coding:SLVRNA""}",,,,
,,"{""NCCRP1"", ""protein_coding:SLVRNA""}","{""S100A8"", ""processed_transcript:SLVRNA""}",,,,,"{""EPN1"", ""protein_coding:SLVRNA""}",,,,
,,"{""RHCG"", ""protein_coding:SLVRNA""}","{""DAPK2"", ""protein_coding:SLVRNA""}",,,,,"{""PCNX3"", ""retained_intron:SLVRNA""}",,,,
,,"{""ELF3"", ""protein_coding:SLVRNA""}","{""B2M"", ""retained_intron:SLVRNA""}",,,,,"{""SRSF3"", ""protein_coding:SLVRNA""}",,,,
,,"{""ATG9B"", ""protein_coding:SLVRNA""}","{""GNAQ"", ""protein_coding:SLVRNA""}",,,,,"{""GRN"", ""protein_coding:SLVRNA""}",,,,
,,"{""FAM83A"", ""protein_coding:SLVRNA""}","{""CXCL17"", ""protein_coding:SLVRNA""}",,,,,"{""GCA"", ""retained_intron:SLVRNA""}",,,,
,,"{""MLLT6"", ""retained_intron:SLVRNA""}","{""AL844908.5"", ""antisense:SLVRNA""}",,,,,"{""LRAT"", ""protein_coding:SLVRNA""}",,,,
,,"{""SPNS2"", ""protein_coding:SLVRNA""}","{""DUSP4"", ""protein_coding:SLVRNA""}",,,,,"{""FMR1"", ""retained_intron:SLVRNA""}",,,,
,,"{""ARHGAP27"", ""protein_coding:SLVRNA""}","{""SRSF7"", ""nonsense_mediated_decay:SLVRNA""}",,,,,"{""STAG2"", ""processed_transcript:SLVRNA""}",,,,
,,"{""ADIPOR2"", ""protein_coding:SLVRNA""}","{""SLC23A2"", ""protein_coding:SLVRNA""}",,,,,"{""AC096655.2"", ""lincRNA:SLVRNA""}",,,,
,,"{""PADI1"", ""protein_coding:SLVRNA""}","{""RFX2"", ""protein_coding:SLVRNA""}",,,,,"{""CELF4"", ""protein_coding:SLVRNA""}",,,,
,,"{""FUT6"", ""protein_coding:SLVRNA""}","{""CREBBP"", ""protein_coding:SLVRNA""}",,,,,"{""EMX2"", ""protein_coding:SLVRNA""}",,,,
,,"{""PSCA"", ""protein_coding:SLVRNA""}","{""NEDD8"", ""processed_transcript:SLVRNA""}",,,,,"{""LRTM1"", ""protein_coding:SLVRNA""}",,,,
,,"{""KRT19"", ""protein_coding:SLVRNA""}","{""CD58"", ""protein_coding:SLVRNA""}",,,,,"{""KBTBD6"", ""protein_coding:SLVRNA""}",,,,
,,"{""MUC21"", ""protein_coding:SLVRNA""}","{""PDGFA"", ""protein_coding:SLVRNA""}",,,,,"{""MSX1"", ""protein_coding:SLVRNA""}",,,,
,,"{""SLK"", ""protein_coding:SLVRNA""}",,,,,,"{""LPAR4"", ""processed_transcript:SLVRNA""}",,,,
,,"{""C4orf26"", ""protein_coding:SLVRNA""}",,,,,,"{""RP11-724N1.1"", ""lincRNA:SLVRNA""}",,,,
,,"{""SESN2"", ""protein_coding:SLVRNA""}",,,,,,"{""EBF1"", ""processed_transcript:SLVRNA""}",,,,
,,"{""DUSP5"", ""protein_coding:SLVRNA""}",,,,,,"{""EBF1"", ""protein_coding:SLVRNA""}",,,,
,,"{""PRSS27"", ""protein_coding:SLVRNA""}",,,,,,"{""RP11-96D1.10"", ""sense_overlapping:SLVRNA""}",,,,
,,"{""CCDC56"", ""protein_coding:SLVRNA""}",,,,,,"{""GABBR2"", ""protein_coding:SLVRNA""}",,,,
,,"{""MAPK8IP3"", ""protein_coding:SLVRNA""}",,,,,,"{""ATP8A2"", ""protein_coding:SLVRNA""}",,,,
,,"{""GTF3C5"", ""protein_coding:SLVRNA""}",,,,,,"{""ZBTB20"", ""protein_coding:SLVRNA""}",,,,
,,"{""RCOR1"", ""protein_coding:SLVRNA""}",,,,,,"{""LAMP2"", ""protein_coding:SLVRNA""}",,,,
,,"{""SLC25A37"", ""retained_intron:SLVRNA""}",,,,,,"{""LDHA"", ""protein_coding:SLVRNA""}",,,,
,,"{""MBOAT7"", ""protein_coding:SLVRNA""}",,,,,,"{""BOD1L1"", ""protein_coding:SLVRNA""}",,,,
,,"{""AMDHD2"", ""retained_intron:SLVRNA""}",,,,,,"{""TMPRSS11D"", ""protein_coding:SLVRNA""}",,,,
,,"{""LPIN1"", ""protein_coding:SLVRNA""}",,,,,,"{""GBP1"", ""processed_transcript:SLVRNA""}",,,,
,,"{""ARHGAP17"", ""retained_intron:SLVRNA""}",,,,,,"{""ETNK1"", ""protein_coding:SLVRNA""}",,,,
,,"{""PTPRC"", ""protein_coding:SLVRNA""}",,,,,,"{""FAM156B"", ""protein_coding:SLVRNA""}",,,,
,,"{""TNFRSF14"", ""retained_intron:SLVRNA""}",,,,,,"{""MON1B"", ""protein_coding:SLVRNA""}",,,,
,,"{""NFKBIA"", ""retained_intron:SLVRNA""}",,,,,,"{""HLX"", ""retained_intron:SLVRNA""}",,,,
,,"{""C16orf72"", ""protein_coding:SLVRNA""}",,,,,,"{""TRPM4"", ""retained_intron:SLVRNA""}",,,,
,,"{""MAPK13"", ""protein_coding:SLVRNA""}",,,,,,"{""TIMM10B"", ""protein_coding:SLVRNA""}",,,,
,,"{""SLC44A2"", ""protein_coding:SLVRNA""}",,,,,,"{""RPS5"", ""protein_coding:SLVRNA""}",,,,
,,"{""YWHAH"", ""protein_coding:SLVRNA""}",,,,,,"{""SLC11A1"", ""retained_intron:SLVRNA""}",,,,
,,"{""BCR"", ""protein_coding:SLVRNA""}",,,,,,"{""FERMT3"", ""protein_coding:SLVRNA""}",,,,
,,"{""FAM83H"", ""protein_coding:SLVRNA""}",,,,,,"{""MAEA"", ""retained_intron:SLVRNA""}",,,,
,,"{""RP11-482G13.1"", ""lincRNA:SLVRNA""}",,,,,,"{""CBFA2T3"", ""retained_intron:SLVRNA""}",,,,
,,"{""FAM84B"", ""protein_coding:SLVRNA""}",,,,,,"{""SLC6A14"", ""protein_coding:SLVRNA""}",,,,
,,"{""C2orf54"", ""protein_coding:SLVRNA""}",,,,,,"{""R3HDM4"", ""nonsense_mediated_decay:SLVRNA""}",,,,
,,"{""PRELID1"", ""retained_intron:SLVRNA""}",,,,,,"{""MCOLN1"", ""retained_intron:SLVRNA""}",,,,
,,"{""SLC30A7"", ""protein_coding:SLVRNA""}",,,,,,"{""PIK3AP1"", ""protein_coding:SLVRNA""}",,,,
,,"{""ABHD17A"", ""retained_intron:SLVRNA""}",,,,,,"{""CASC4"", ""protein_coding:SLVRNA""}",,,,
,,"{""SERTAD1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""DNMT3A"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KLK13"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""TMPRSS2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KRT78"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ARID4B"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""FCGR2B"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""TRIM25"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""PLEK"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""SPEN"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""PPL"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TMPRSS2"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""PPFIBP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""EDEM1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""LMF2"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""TMEM43"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""NLRC5"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""IGSF6"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""SPG11"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ACPP"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""DMKN"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CLDN4"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CEACAM6"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""AQP5"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CTC-444N24.11"", ""lincRNA:SLVRNA""}",,,,,,,,,,
,,"{""SERPINB3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SERPINB4"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""JUP"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CYSRT1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""PRRG3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SLC35E3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""YPEL3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KIZ"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KRT13"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""PLEKHM1P"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""RP11-467L13.7"", ""antisense:SLVRNA""}",,,,,,,,,,
,,"{""AGAP6"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ABHD12"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KIAA0226L"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CDC42BPB"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""PRSS22"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SUGP1"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""CD55"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""NLRP1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""NEAT1"", ""lincRNA:SLVRNA""}",,,,,,,,,,
,,"{""C9orf72"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""HBA1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""INTS11"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""SGSM2"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""EXOC3"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""AC074289.1"", ""antisense:SLVRNA""}",,,,,,,,,,
,,"{""HNRNPU"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""N4BP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""OAZ2"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""VPS35"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SPRED2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RRP7A"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TMEM165"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""MMP12"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SERPINB5"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""FNBP4"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""CD44"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""MLX"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""UBR5"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""GPCPD1"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""LAMC2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""YBX3"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""VASP"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""UBALD2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CPEB4"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""FOSB"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ETS2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""PPP1R9B"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""GPR132"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""NR4A3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""MMP19"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""CORO7"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""MLKL"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""STK19"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""MED12"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KMT2B"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""FOSL2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ZNF862"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""LIMK2"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""COPA"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CREBRF"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""STRN4"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""DCUN1D1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""GRB2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HLA-C"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ZMIZ1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""IL1B"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""MCTP2"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""USP9X"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SLC7A7"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""NR1D1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SCARF1"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""PGS1"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""IL1B"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""PREX1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HIPK3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ATG16L2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""MYO1F"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""IQGAP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CDKN2B"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KIF1C"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CD46"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""GCOM1"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""MGEA5"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""JAK1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""LIMK2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""PTGS2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""PLEKHO1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""OGFR"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ADGRG3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SLC10A3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RPS9"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""RP11-582J16.5"", ""antisense:SLVRNA""}",,,,,,,,,,
,,"{""RPL26"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""LGALS1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TAGAP"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HNRNPK"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TSPO"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RPS27A"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""MYO6"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""PTMA"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""NEDD4L"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""MYL12B"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RALBP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CIR1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""LL22NC03-2H8.5"", ""lincRNA:SLVRNA""}",,,,,,,,,,
,,"{""AIF1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TMA7"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""S100A4"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""BRI3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""S100A8"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""MALAT1"", ""lincRNA:SLVRNA""}",,,,,,,,,,
,,"{""PLAUR"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""NBPF19"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""MPHOSPH8"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""AREG"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""INHBA"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CD69"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""THBS1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""LCP2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CASS4"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RTN4"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""ANKRD12"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""MAFB"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HLA-DRB1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HSD17B11"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""MT-ATP8"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CDK11B"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""PRPF8"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TMEM41A"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SYNE1"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""HSP90AA1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RN7SL368P"", ""misc_RNA:SLVRNA""}",,,,,,,,,,
,,"{""CASZ1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SAT1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""STAT6"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TFDP2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""UBE2W"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SRRT"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""ANO5"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SNORD89"", ""snoRNA:SLVRNA""}",,,,,,,,,,
,,"{""ALOX5AP"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SOD2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""TNFAIP6"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SRGN"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""MARCKS"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""FCER1G"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TYROBP"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""LAPTM5"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SLC44A2"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""B2M"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""MAP3K8"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SLC11A1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KLF6"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TLE3"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""INAFM2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CD44"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CXCR1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HIF1A"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""STAP2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""FTL"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""NFKBIA"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TMSB4X"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""COTL1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CYB5R1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TGFBI"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KYNU"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""TMSB10"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RGS2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""H3F3A"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RHOQ"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""SAMSN1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""EIF5B"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""CTD-2552B11.4"", ""retained_intron:SLVRNA""}",,,,,,,,,,
,,"{""NBPF14"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RBM25"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""HSP90AA1"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,
,,"{""GBP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""VCAN"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RPS24"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""LILRB1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""KHDRBS1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HS3ST3B1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""EIF1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,
,,"{""HLA-DQA2"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HBB"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""HCLS1"", ""protein_coding:SLVRNA""}",,,,,,,,,,
,,"{""RP11-875O11.5"", ""lincRNA:SLVRNA""}",,,,,,,,,,